project_id,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence
The Big -P.01-UP-20-April-26,Employer free-issue reinforcement steel delay - primary TIA clause,Clause 4.20 / Appendix advance payment steel supply / Clause 8.4 / Clause 20.1,"Employer-supplied or client supplied reinforcement steel is tied to the approved programme and advance-payment arrangement. Late, short, or unusable free-issue steel can support a Delay TIA only when the Contractor proves timely requisition, readiness to use the steel, and critical path impact.","Priority keywords: steel, reinforcement, RFT, free issue, employer supplied, client supplied, material shortage, approved programme, requisition, delivery notes, stock records, activity impacts, critical path, TIA, EOT. This should rank first for steel shortage events. The Contractor position is strongest where the affected activity was ready, predecessors were complete, and the delay window is measured from stock-out/need date to usable recovery.","Shared - Contractor has leverage on time if records prove readiness and criticality; Employer has leverage if requisitions, readiness, or critical path are weak.","Immediate notice under Clause 20.1 and monthly claim account required. State activity ID, required steel date, requested quantity, delivered quantity, shortage, affected programme update, and intended TIA fragnet.","Potential prolongation, disruption, and steel/concrete price adjustment only if non-Contractor delay and no uncompensable concurrency are proven.","Strong EOT candidate if the stock-out delays a critical or longest-path activity, consumes float, or delays a contractual milestone after proper TIA insertion.",Approved baseline/update programme; steel requisitions; delivery notes; stock ledger; material inspection records; activity readiness proof; predecessor completion; photos; daily reports; CPM/TIA fragnet; concurrency review; notice and monthly claim updates.
The Big -P.01-UP-20-April-26,Advance payment steel supply mechanism,Appendix / Clause 14.2,"The 25 percent advance includes a steel-supply component, with 70 percent as steel supplied by the Employer according to the approved programme.","This links free-issue steel to payment and programme administration. It does not by itself prove delay; it proves the source of supply and makes approved programme dates, requisitions, and delivery records central evidence.",Shared,"Notify immediately when steel supply under the advance mechanism is late, short, or not usable against approved programme needs.",Affects advance/payment reconciliation and may support prolongation or escalation only when delay responsibility is established.,Supports causation for free-issue steel delay if the affected activity was ready and impacted the critical path.,Approved programme; advance-payment terms; steel delivery schedule; requisitions; receipts; delivery notes; shortage calculations; balance curve; correspondence requesting recovery commitments.
The Big -P.01-UP-20-April-26,Extension of Time entitlement and TIA proof,Clause 8.4 / Clause 20.1,EOT is available only for qualifying Employer/Engineer risk events that delay completion or a contractual milestone and are claimed under the notice procedure.,"Use this row for all Delay TIA conclusions. A valid event needs cause, effect, critical path/float impact, contemporaneous notice, and an update-impact/TIA calculation. Simple addition of delay days is not enough.","Shared - Contractor if critical path proof and notice are strong; Employer if delay is non-critical, concurrent, or unsupported.","Strict Clause 20.1 notice, particulars, updates, and monthly claim account. Missing or late notices create high time-bar risk.","EOT protects from delay damages. Prolongation cost requires separate entitlement, causation, and concurrency proof.","Primary schedule entitlement route for steel, RFI, IFC, access, variation, and suspension events.",Delay event register; notice register; impacted update; baseline/update schedules; fragnet logic; narrative; float path comparison; milestone impact; concurrency matrix; mitigation records.
The Big -P.01-UP-20-April-26,Clause 20.1 claim notice and time bar control,Clause 20.1,"Failure to submit timely notice, particulars, and monthly claim updates can waive or severely weaken time and money claims.","This is the highest-risk defence against every otherwise valid claim. The Delay TIA engine should treat notice compliance as a gating issue, not an administrative afterthought.",Employer unless Contractor has complete notice trail,Immediate protective notice; detailed particulars when available; repeat in monthly claim/variation account until resolved.,"Missed notice can defeat prolongation cost, disruption cost, variation recovery, and interest arguments.",Missed notice can defeat or weaken EOT even where the technical schedule impact exists.,Notice letters; submission receipts; Engineer/Employer acknowledgements; monthly claim account; updated particulars; claim register; evidence index; responsible-party chronology.
The Big -P.01-UP-20-April-26,"Delayed drawings, IFC revisions and Engineer instructions",Clause 1.9 / Clause 3.5 / Clause 8.4 / Clause 20.1,"Late drawings, delayed instructions, design revisions, or IFC conflicts may be Employer/Engineer risk when they stop approvals, procurement, inspection, or construction activities.","Use this for IFC conflict, revised structural drawings, missing information, delayed approvals, and RFI response delay. Entitlement depends on request date, required-by date, late response date, actual workface impact, and critical path effect.",Shared,Notify once information is late or revision impact is known; identify affected activities and required response date.,Potential prolongation or variation cost if the revision changes scope or causes non-concurrent delay.,"Potential EOT if late information delays critical design approval, procurement, inspection, or construction sequence.",RFI/submittal logs; drawing register; transmittals; revision clouds; response dates; approval workflow; impacted activities; predecessor/successor logic; TIA fragnet; notice letters.
The Big -P.01-UP-20-April-26,RFI and submittal response delay,Clause 1.9 / Clause 4.25 / General Requirements / Clause 20.1,"Late responses to RFIs, shop drawings, material approvals, or technical submittals can become a delay event where the response was required before work could proceed.",The key is not merely that an RFI was late; prove the answer was needed for a specific activity and that no reasonable alternate workfront avoided the impact.,Shared,Submit notice when response exceeds contractual/reasonable review period and affects planned work.,Potential cost only if delay is Employer/Engineer risk and not concurrent with Contractor delay.,Potential EOT where delayed response blocks critical or near-critical successor work.,RFI register; submittal register; submission/reply dates; required-by date; affected activity ID; blocked workfront records; consultant comments; programme update; mitigation attempts.
The Big -P.01-UP-20-April-26,Programme requirements and critical path proof,Clause 8.3 / General Requirements,"The programme must be a proper CPM/P6 programme with logic, resources/cost/cash-flow where required, and regular updates. Delay claims depend on accepted programme logic.","The Delay TIA is only as strong as the schedule data. Float, longest path, predecessors, successors, calendars, progress status, and data date must be traceable.","Employer if programme is missing, unapproved, or logic is weak; Contractor if statused updates are complete.",Submit/revise programmes and narratives on time; include delay impacts in monthly reporting and claim accounts.,Weak programme proof weakens prolongation and disruption claims.,Critical path and EOT proof depends on accepted/current logic and statused update windows.,Baseline programme; update schedules; XER/PDF exports; calendars; logic report; longest-path report; float report; progress narrative; recovery plans; TIA insertion files.
The Big -P.01-UP-20-April-26,Concurrent delay and compensability separation,Clause 20.1 / EOT and claims principles,Concurrent Employer and Contractor delays may allow time relief but can block or reduce money recovery for the concurrent period.,"The concurrency matrix must split Employer delay, Contractor delay, neutral delay, and overlapping windows. Do not double count days. Separate entitlement to time from entitlement to cost.",Employer on money; Contractor may retain time protection if critical Employer delay is proven.,Notice still required for each Employer-risk event and each updated impact period.,No or reduced prolongation cost during true concurrency unless contract/legal position supports apportionment.,"Possible EOT for net critical delay, subject to causation and notice.",Concurrency matrix; event windows; responsible party coding; critical path comparison; float consumption; contractor delay register; mitigation records; narrative explaining net impact.
The Big -P.01-UP-20-April-26,Payment certification and 45-day payment period,Clause 14.3 / 14.5 / 14.7 / Appendix,"Payment entitlement depends on complete monthly statements, certification, and the contractual payment period. Late payment arguments require proof of valid submission and due date.","Use this for IPC delay, cash-flow stress, interest, and payment-related disruption. Payment delay is not automatically an EOT event unless a contractual suspension/right or proven critical resource impact exists.",Employer until submission completeness and due date are proven; Contractor if certified amounts remain unpaid beyond the period.,"Notify late/non-payment with invoice, certification, receipt date, due date, amount, and contractual interest calculation.","Potential unpaid balance, interest, financing/prolongation argument, or suspension-related cost subject to contract compliance.","Indirect only unless non-payment demonstrably caused resource demobilization, suspension, or critical productivity loss.",IPC submission; Engineer receipt; certified amount; payment due date; cheque/cash receipt; bank records; ageing table; resource impact records; notice of non-payment.
The Big -P.01-UP-20-April-26,Monthly statements and material on site,Clause 14.3 / 14.5,Monthly statements include executed work and approved delivered materials/plants where conditions are satisfied.,"Material on site can support cash flow but must be approved, delivered, protected, insured/owned as required, and allocated to BOQ/payment items.",Shared,Submit complete monthly statement with supporting material records.,Incomplete documents delay certification/payment; complete material records improve recovery.,Indirect schedule relevance through cash-flow and material availability only.,Delivery notes; MIRs; invoices; photos; storage records; insurance/ownership records; BOQ allocation; monthly valuation backup.
